Program Name,Dates,Location,Google Map Link,Jila,State
Rajgir Satsang Program,15th - 16th Feb 2026,Rajgir,contact info@paramguru.net for location,Nalanda,Bihar
Rajpur Bhandara,20th - 22nd Mar 2026,Rajpur,contact info@paramguru.net for location,Rohtas,Bihar
Badora Bajar Satsang,1st - 2nd May 2026,Badora Bajar,contact info@paramguru.net for location,Varanasi,Uttar Pradesh
Nokha Satsang Program,12th - 13th May 2026,Nokha,contact info@paramguru.net for location,Bikaner,Rajasthan
Rafetpur Satsang Program,31 May - 1 June 2026,Rafetpur,contact info@paramguru.net for location,Bijnour,Uttar Pradesh
Guru Poornima,29th July 2026,Agra,https://maps.app.goo.gl/Q6BsqNZzVDAQYguZA,Agra,Uttar Pradesh
Guru Poornima,29th July 2026,Jakkini,https://maps.app.goo.gl/BfQEt5a5wGZTtBF1A,Varanasi,Uttar Pradesh
Agra Bhandara,16th - 18th Oct 2026,Agra,https://maps.app.goo.gl/Q6BsqNZzVDAQYguZA,Agra,Uttar Pradesh
Ramnagar Tanda Satsang,24th - 25th Dec 2026,Ramnagar Tanda,https://maps.app.goo.gl/bKU75PCbji8Wg1bY6,Bijnour,Uttar Pradesh
Bikaner Satsang Program,9th - 10th Jan 2027,Narsingh Bhawan,https://maps.app.goo.gl/U1NUVkyheQ9qPJGWA,Bikaner,Rajasthan
